Organization,og_description,location,number_of_employees,data_funding_rounds,ipo_status,company_url,cb_rank,actively_hiring,Contacts Num
PagerDuty,PagerDuty is an operations performance platform.,"San Francisco, California, United States",1001-5000,[Post-IPO Debt],Public,www.pagerduty.com,73,Actively Hiring,814.0
Enable,Enable is a startup developing a cloud-based platform.,"San Francisco, California, United States",251-500,[Series D],Private,enable.com,83,Not hiring,301.0
Ada,Ada is an automated customer experience company.,"Toronto, Ontario, Canada",101-250,[Series C],Private,www.ada.cx,95,Actively Hiring,24.0
Atlassian,"Atlassian provides collaboration, development, and tracking tools.","Sydney, New South Wales, Australia",1001-5000,[Secondary Market],Public,www.atlassian.com,102,Not hiring,2580.0
Samsara,Samsara offers platform for fleet management.,"San Francisco, California, United States",1001-5000,[Secondary Market],Public,www.samsara.com,103,Not hiring,1053.0
GitLab,GitLab is a web-based Git repository manager.,"San Francisco, California, United States",1001-5000,[Series E],Public,about.gitlab.com,106,Not hiring,782.0
Freshworks,Freshworks builds and delivers online customer engagement software.,"San Mateo, California, United States",5001-10000,[Secondary Market],Public,www.freshworks.com,113,Actively Hiring,493.0
Hightouch,Hightouch is a data platform that helps sync customer data.,"San Francisco, California, United States",101-250,[Series B],Private,www.hightouch.com,134,Not hiring,3.0
C3 AI,C3 AI provides Enterprise AI software solutions.,"Redwood City, California, United States",1001-5000,[Grant],Public,c3.ai,151,Not hiring,595.0
Welltok,Welltok is an enterprise SaaS company for health optimization.,"Denver, Colorado, United States",Virgin Pulse,[Series E],Private,Virgin Pulse,175,Actively Hiring,129.0
nCino,nCino provides cloud-based bank operating solutions.,"Wilmington, North Carolina, United States",501-1000,[Post-IPO Equity],Public,ncino.com,176,Not hiring,751.0
Amplitude,Amplitude is a product intelligence platform.,"San Francisco, California, United States",501-1000,[Secondary Market],Public,amplitude.com,184,Actively Hiring,470.0
Forethought,Forethought offers generative AI suite for customer support.,"San Francisco, California, United States",101-250,[Series C],Private,www.forethought.ai,191,Not hiring,89.0
Pipefy,Pipefy is a no-code process orchestration platform.,"San Francisco, California, United States",501-1000,[Series C],Private,www.pipefy.com,192,Not hiring,190.0
Startup Wise Guys,Startup Wise Guys is a B2B startup accelerator.,"Tallinn, Harjumaa, Estonia",51-100,[Undisclosed],Active,www.startupwiseguys.com,149,Not hiring,
